category,calibration_rows_read,control_id,decision_sets,eligible,final_test_rows_read,fold_count,ineligible_folds,mean_fold_nrmse,mean_regret_m_s,model_view,pooled_oof_nrmse,pooled_oof_rmse,seed_index,status,track_id,validation_rows,wall_time_s,auroc,expected_calibration_error,false_negative_rate,false_positive_rate,pooled_oof_brier,precision_at_0_5,predicted_feasible_rate,recall_at_0_5
control,0,C05-T12,,True,0,5,[],,,control,,,9,complete,FQK,39000,59.32671990006929,0.5510353994844588,0.12144118527677117,0.9615250898134199,0.018669125152283427,0.18776746783227807,0.3692992213570634,0.02305128205128205,0.038474910186580134
control,0,C06-T17,,True,0,5,[],,,control,,,9,complete,FQK,39000,59.32671990006929,0.8971983962581732,0.09764262831651918,0.6009966392397729,0.048269730993381846,0.12247392928942265,0.7013648400896313,0.12587179487179487,0.39900336076022713
control,0,A01-T04-q8,,True,0,5,[],,,control,,,9,complete,FQK,39000,59.32671990006929,0.6317902903689677,0.1728722132447839,0.8684667980067216,0.09614434822692701,0.20105449953567023,0.279901356350185,0.10397435897435897,0.13153320199327848
control,0,C05-T17-q8,,True,0,5,[],,,control,,,9,complete,FQK,39000,59.32671990006929,0.5882734213623091,0.16189247679748348,0.9028856182639935,0.0567646768298706,0.19057855654954498,0.32708821233411395,0.06569230769230769,0.09711438173600649
control,0,C06-T17,7800,True,0,5,[],0.005356997531575444,16.806576945019742,control,0.006832811015144498,0.016001739666352786,10,complete,Q01b,39000,58.81663940002909,,,,,,,,
control,0,A01-T04-q8,7800,True,0,5,[],0.490728134307875,18.961179899763465,control,0.5835070284048341,1.3665133634350661,10,complete,Q01b,39000,58.81663940002909,,,,,,,,
control,0,C05-T17-q8,7800,True,0,5,[],0.3577452536147695,19.78210818971859,control,0.4425603616652508,1.0364307864388544,10,complete,Q01b,39000,58.81663940002909,,,,,,,,
control,0,C01-T18,,True,0,5,[],,,control,,,10,complete,FQK,39000,58.81663940002909,0.7818059164565174,0.12382865293743076,0.8655695909143586,0.04724902044713707,0.1625090291147282,0.44701348747591524,0.06653846153846153,0.13443040908564144
control,0,C02-T02,,True,0,5,[],,,control,,,10,complete,FQK,39000,58.81663940002909,0.9154600655922878,0.06903153046457214,0.6735427048325414,0.03411148793256725,0.10436596411661628,0.7311186088762004,0.0987948717948718,0.3264572951674586
control,0,C03-T13,,True,0,5,[],,,control,,,10,complete,FQK,39000,58.81663940002909,0.8989529527337629,0.11489695140934364,0.5932321242322401,0.05643541536334003,0.13088043978657862,0.6718989280245024,0.13394871794871796,0.40676787576775986
control,0,C04-T28,,True,0,5,[],,,control,,,10,complete,FQK,39000,58.81663940002909,0.7306596292347993,0.07358071774528153,0.9986093405956658,0.0032596885186526622,0.15782398239201534,0.10810810810810811,0.0028461538461538463,0.0013906594043342217
control,0,C05-T12,,True,0,5,[],,,control,,,10,complete,FQK,39000,58.81663940002909,0.6926517063621591,0.15238375923658976,0.9515586974156913,0.03532975535873037,0.17069364370490064,0.28034875922199864,0.03823076923076923,0.048441302584308725
