outer_fold,seed_index,config_id,q,layers,entangle,state_dimension,landmarks,lambda,psd_clipped_eigenvalues,min_eigenvalue_before_clip,validation_outcomes_used
CV05,11,GFRK-08-L010,8,1,True,256,256,0.1,30,-1.728489669978472e-15,0
CV05,12,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.1123893238968913e-14,0
CV05,12,GFRK-06-L010,6,1,True,64,256,0.1,23,-1.552086756517877e-15,0
CV05,12,GFRK-08-L010,8,1,True,256,256,0.1,28,-1.3927453885820184e-15,0
CV05,13,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.1340211051689537e-14,0
CV05,13,GFRK-06-L010,6,1,True,64,256,0.1,33,-1.8707122161211622e-15,0
CV05,13,GFRK-08-L010,8,1,True,256,256,0.1,22,-1.158922072830908e-15,0
CV05,14,GFRK-04-L010,4,1,True,16,256,0.1,175,-2.0646785848401905e-14,0
CV05,14,GFRK-06-L010,6,1,True,64,256,0.1,30,-1.883140423963427e-15,0
CV05,14,GFRK-08-L010,8,1,True,256,256,0.1,27,-5.760578328580662e-15,0
CV05,15,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.1884043424410578e-14,0
CV05,15,GFRK-06-L010,6,1,True,64,256,0.1,31,-2.494293542780789e-15,0
CV05,15,GFRK-08-L010,8,1,True,256,256,0.1,30,-2.444519953527266e-15,0
CV05,16,GFRK-04-L010,4,1,True,16,256,0.1,175,-2.968429623435749e-14,0
CV05,16,GFRK-06-L010,6,1,True,64,256,0.1,41,-8.15096876293165e-15,0
