outer_fold,seed_index,grid,candidate_losses,control_losses,candidate_lambda,control_lambda,selection_source,validation_outcomes_used
CV05,5,0.05;0.10;0.15,0.0008200815632304266;0.0008589656083246913;0.0009010994592030373,0.0008250976396908043;0.0008689905143235916;0.000916125947818605,0.05,0.05,outer_training_inner_oof_only,0
CV05,6,0.05;0.10;0.15,0.0008203824985233934;0.000859466522003958;0.0009016993943619371,0.000825443297869463;0.0008697215516853098;0.0009172820853677841,0.05,0.05,outer_training_inner_oof_only,0
CV05,7,0.05;0.10;0.15,0.0008195189647452958;0.0008577326156706138;0.0008990882766961976,0.0008256669236672055;0.0008702554852597521;0.0009182130086978831,0.05,0.05,outer_training_inner_oof_only,0
CV05,8,0.05;0.10;0.15,0.0008206041553513105;0.0008599842713092646;0.0009025876717941056,0.0008259825662772767;0.0008709200851172215;0.000919259880440078,0.05,0.05,outer_training_inner_oof_only,0
CV05,9,0.05;0.10;0.15,0.0008199877686328869;0.0008587495188204768;0.000900732574483013,0.0008258601668589858;0.0008706747383109531;0.000918891038276145,0.05,0.05,outer_training_inner_oof_only,0
CV05,10,0.05;0.10;0.15,0.0008208192081632655;0.0008603993384829191;0.0009031877148792044,0.0008256528341238983;0.0008702056142049807;0.0009181056641634907,0.05,0.05,outer_training_inner_oof_only,0
CV05,11,0.05;0.10;0.15,0.0008200496700684721;0.0008588220596192962;0.0009007644925727164,0.0008257227455505272;0.0008703493760875311;0.0009183272155312549,0.05,0.05,outer_training_inner_oof_only,0
CV05,12,0.05;0.10;0.15,0.0008205602823932565;0.0008598791208959996;0.0009024038394284729,0.0008256586838669087;0.0008701820825595306;0.0009180175199981087,0.05,0.05,outer_training_inner_oof_only,0
CV05,13,0.05;0.10;0.15,0.000820461635275305;0.0008597087535949799;0.0009021886788792679,0.0008256103423774851;0.0008701080156498767;0.0009179403437374178,0.05,0.05,outer_training_inner_oof_only,0
CV05,14,0.05;0.10;0.15,0.0008202722376434303;0.0008592815984615689;0.0009014754063746591,0.0008255843476566575;0.0008700629609779246;0.0009178831638840455,0.05,0.05,outer_training_inner_oof_only,0
CV05,15,0.05;0.10;0.15,0.0008211952639210912;0.0008611690333272589;0.0009043686321387463,0.0008259238165493492;0.0008707793527099274;0.0009190139324019785,0.05,0.05,outer_training_inner_oof_only,0
CV05,16,0.05;0.10;0.15,0.0008200393984969498;0.0008588062124597616;0.0009007477658086791,0.0008257944160213479;0.0008705291965528409;0.0009186516655147225,0.05,0.05,outer_training_inner_oof_only,0
CV05,17,0.05;0.10;0.15,0.0008191490893267735;0.0008569892423689485;0.0008979677830467687,0.0008255208507209654;0.0008699258270893047;0.0009176622530252613,0.05,0.05,outer_training_inner_oof_only,0
CV05,18,0.05;0.10;0.15,0.0008202415273794034;0.0008592306077575806;0.000901414565054775,0.0008254009061235297;0.0008696637452646186;0.0009172358413435101,0.05,0.05,outer_training_inner_oof_only,0
CV05,19,0.05;0.10;0.15,0.0008199108153195167;0.0008585328528884556;0.0009003134366270598,0.0008256489994177233;0.0008701636858613418;0.0009179913832510992,0.05,0.05,outer_training_inner_oof_only,0
CV05,20,0.05;0.10;0.15,0.000821177853446609;0.0008611590793758885;0.0009043910017080812,0.0008257362899596004;0.0008703559830552241;0.0009183064032071144,0.05,0.05,outer_training_inner_oof_only,0
