model_id,config_id,fold_id,seed_index,validation_rows,brier,auroc,recall,precision,ece,rmse,nrmse,mae,mean_regret_m_s,infeasible_selection_rate,no_predicted_feasible_rate
A02-R-q8,A02-R-q8,CV02,1,9750,0.32846573790560607,0.2317154334038055,0.005757575757575757,0.3220338983050847,0.3253476356651065,0.06755096758137694,0.02884455096743262,0.0608974685038252,19.805436772995897,0.011794871794871795,0.5646153846153846
PRQK-08-N,PRQK-08-N,CV02,2,9750,0.19107851637672346,0.7056304439746299,0.13424242424242425,0.26244075829383884,0.2615934190149469,0.08017812500399416,0.03423640098663042,0.07256742710434828,19.476923076923075,0.2076923076923077,0.3523076923076923
A02-R-q8,A02-R-q8,CV02,2,9750,0.32851278565747216,0.23143826638477805,0.005757575757575757,0.3220338983050847,0.32539605240473407,0.06761023104072166,0.02886985671707293,0.060960386553834796,19.805436772995897,0.011794871794871795,0.5646153846153846
PRQK-08-N,PRQK-08-N,CV02,3,9750,0.19103994793842344,0.7055955367629788,0.13575757575757577,0.264619019492026,0.26212169513940586,0.08001281708251821,0.03416581379984307,0.07238747457315196,19.476923076923075,0.2076923076923077,0.3523076923076923
A02-R-q8,A02-R-q8,CV02,3,9750,0.32851144932777754,0.2315058726802913,0.005757575757575757,0.3220338983050847,0.32538792752418166,0.06759629909047435,0.028863907714958344,0.060944307607270425,19.805436772995897,0.011794871794871795,0.5646153846153846
PRQK-08-N,PRQK-08-N,CV02,4,9750,0.1909151492818914,0.7057182522903452,0.13424242424242425,0.26244075829383884,0.26200443113715005,0.07999002181782779,0.0341560801246979,0.0723768238915912,19.476923076923075,0.2076923076923077,0.3523076923076923
A02-R-q8,A02-R-q8,CV02,4,9750,0.3282562699088292,0.2320938454310547,0.005757575757575757,0.3220338983050847,0.32524359775993644,0.06757252682124278,0.028853756854711442,0.060920228390811924,19.805436772995897,0.011794871794871795,0.5646153846153846
PRQK-08-N,PRQK-08-N,CV02,5,9750,0.19092846409161748,0.7056011745360583,0.13424242424242425,0.26259632483698875,0.26197898742161624,0.0800357583873184,0.03417560983473733,0.07243417269149945,19.476923076923075,0.2076923076923077,0.3523076923076923
A02-R-q8,A02-R-q8,CV02,5,9750,0.3283392220434762,0.2319576932111816,0.005757575757575757,0.3220338983050847,0.3252854035805778,0.067586801194221,0.02885985207279107,0.06093448627594733,19.805436772995897,0.011794871794871795,0.5646153846153846
PRQK-08-N,PRQK-08-N,CV02,6,9750,0.19054795213881148,0.7063276015973691,0.13424242424242425,0.26259632483698875,0.26146883749583555,0.07984098728823798,0.034092441745580945,0.07225384854018967,19.476923076923075,0.2076923076923077,0.3523076923076923
